dates,doc_id,category,item,price,amount,discount
2025-05-25,s6_c2,sentiment,grief,10000,3,10
2025-05-25,s6_c2,season,spring,50,1,10
2025-05-25,s6_c2,season,autumn,500,3,10
2025-05-25,s6_c2,sentiment,happiness,1,4,0
2025-05-25,s6_c2,sentiment,sadness,500,3,5
2025-05-25,s6_c2,weather,sun,100,1,0
2025-05-25,s6_c2,sentiment,joy,100,3,0
2025-05-25,s6_c2,season,winter,500,2,10
2025-05-25,s6_c2,weather,clouds,1500,1,5
2025-05-25,s6_c2,weather,rain,3000,1,10
2025-05-25,s6_c2,season,summer,10,2,0
2025-05-25,s6_c2,weather,snow,1000,2,10
