dates,doc_id,category,item,price,amount,discount
2025-05-25,s10_c3,sentiment,sadness,500,5,0
2025-05-25,s10_c3,season,spring,50,4,0
2025-05-25,s10_c3,sentiment,joy,100,4,0
2025-05-25,s10_c3,sentiment,grief,10000,5,5
2025-05-25,s10_c3,season,autumn,500,5,0
2025-05-25,s10_c3,weather,clouds,1500,2,0
2025-05-25,s10_c3,weather,wind,500,3,5
2025-05-25,s10_c3,weather,sun,100,3,5
2025-05-25,s10_c3,season,summer,10,3,5
2025-05-25,s10_c3,weather,rain,3000,2,5
2025-05-25,s10_c3,weather,snow,1000,5,5
2025-05-25,s10_c3,season,winter,500,4,5
2025-05-25,s10_c3,sentiment,happiness,1,5,0
